Overall,Potential,Weak Foot,Skill Moves
94,94,4,4
94,94,4,5
92,93,5,5
91,93,3,1
91,92,5,4
91,91,4,4
91,91,4,4
91,91,4,3
91,91,3,3
90,93,3,1
90,90,4,4
90,90,5,3
90,90,3,2
90,90,2,4
89,90,3,2
89,94,3,4
89,91,4,3
89,90,3,4
89,92,4,1
89,90,2,1
89,89,3,3
89,89,4,3
89,89,4,1
89,89,4,4
89,89,3,2
88,95,4,5
88,89,3,4
88,90,3,2
88,89,3,4
88,88,3,4
88,91,3,4
88,91,5,4
88,89,4,5
88,88,4,4
88,88,3,3
88,88,4,5
88,88,3,4
88,88,1,1
88,88,4,3
88,88,3,2
88,88,2,1
88,88,2,1
87,92,3,2
87,90,4,3
87,90,3,2
87,91,4,5
87,87,3,1
87,89,3,3
87,87,4,3
87,87,3,3
87,87,4,4
87,87,3,3
87,87,5,3
87,87,3,3
87,87,3,2
86,92,3,4
86,91,3,4
86,90,3,1
86,87,4,4
86,88,3,2
86,89,3,4
86,87,4,4
86,91,3,2
86,89,4,4
86,86,3,3
86,86,3,5
86,86,4,3
86,86,3,5
86,86,4,4
86,86,3,2
86,86,3,2
86,87,3,2
86,86,4,3
86,86,3,2
86,86,2,4
86,86,4,3
86,86,4,4
85,92,4,2
85,90,4,4
85,92,3,4
85,89,3,4
85,90,3,1
85,88,4,3
85,90,4,3
85,85,4,5
85,87,4,3
85,86,4,3
85,86,4,4
85,87,2,2
85,85,3,2
85,85,4,3
85,85,3,3
85,87,3,1
85,85,3,4
85,85,3,4
85,85,4,2
85,85,4,3
85,85,5,4
85,85,5,2
85,85,4,2
85,85,4,2
85,85,3,3
85,85,4,2
85,85,2,2
85,85,3,2
85,85,4,4
85,85,3,3
85,85,3,2
85,85,3,2
85,85,4,5
84,88,3,2
84,88,3,2
84,87,2,3
84,88,3,2
84,88,3,4
84,90,3,2
84,90,3,4
84,90,3,4
84,88,2,3
84,89,3,2
84,86,4,3
84,87,3,3
84,87,3,4
84,87,3,3
84,89,3,5
84,85,5,4
84,86,2,1
84,86,4,2
84,89,3,1
84,84,3,5
84,84,3,3
84,87,4,1
84,84,3,3
84,84,3,1
84,84,3,4
84,84,2,2
84,84,4,4
84,84,3,3
84,84,2,5
84,84,3,3
84,84,4,4
84,85,3,1
84,84,4,4
84,84,4,4
84,84,4,4
84,84,5,3
84,84,2,2
84,84,3,1
84,84,4,3
84,84,3,1
84,84,3,2
84,84,4,4
84,84,3,2
84,84,4,5
84,84,2,4
83,92,5,4
83,92,3,4
83,83,4,4
83,83,3,2
83,83,3,4
83,89,3,3
83,88,4,4
83,88,3,3
83,89,2,4
83,87,3,5
83,88,4,2
83,90,4,4
83,87,4,3
83,87,3,3
83,88,4,3
83,84,4,5
83,86,2,4
83,83,4,4
83,86,4,4
83,85,4,4
83,83,3,2
83,89,4,4
83,91,4,1
83,84,4,4
83,88,4,4
83,88,4,1
83,86,3,2
83,87,4,3
83,86,3,4
83,86,5,4
83,85,4,4
83,84,3,4
83,86,3,3
83,85,4,2
83,87,3,1
83,83,3,4
83,83,3,3
83,86,3,4
83,84,3,4
83,83,4,3
83,83,4,3
83,84,2,1
83,84,1,1
83,83,3,3
83,83,5,4
83,84,3,3
83,83,2,1
83,83,2,2
83,83,3,3
83,83,3,2
83,84,3,4
83,83,4,4
83,83,3,3
83,83,3,4
83,83,3,3
83,84,1,1
83,83,3,4
83,83,2,1
83,83,2,1
83,84,4,1
83,83,3,2
83,83,3,2
83,83,3,3
83,83,3,1
83,83,3,3
83,83,2,4
83,83,4,5
83,83,4,1
83,83,4,2
83,83,3,1
82,85,3,1
82,91,4,2
82,87,3,4
82,90,3,4
82,93,3,1
82,82,4,2
82,82,3,2
82,82,2,1
82,87,3,5
82,86,3,4
82,87,3,3
82,89,4,4
82,87,3,1
82,88,3,3
82,88,4,2
82,83,4,4
82,87,2,3
82,83,3,3
82,87,3,5
82,88,4,4
82,86,3,2
82,86,2,4
82,88,3,4
82,89,3,2
82,88,3,3
82,84,4,4
82,82,3,3
82,87,5,3
82,83,4,4
82,83,3,4
82,82,3,4
82,82,4,4
82,84,3,2
82,83,3,4
82,85,3,2
82,83,4,3
82,82,3,3
82,85,2,4
82,87,4,4
